Quality,I_BG,Raw_I,Radius,Frames,Set_ID
21.5240478515625,42.36904761904759,513.7619047619048,1.5,3,1
42.110107421875,92.64285714285722,625.2857142857143,1.5,5,1
22.1248779296875,55.88095238095241,573.4285714285714,1.5,4,1
20.759765625,47.583333333333314,525.6666666666666,1.5,7,1
24.543243408203125,47.40476190476193,477.7619047619048,1.5,4,1
21.616912841796875,51.190476190476204,438.3333333333333,1.5,6,1
23.895263671875,51.059523809523796,483.2380952380952,1.5,4,1
31.2633056640625,69.26190476190476,519.7142857142857,1.5,6,1
19.82537841796875,40.34523809523813,512.6666666666666,1.5,4,1
39.55291748046875,99.92857142857143,770.5714285714286,1.5,7,1
23.839385986328125,47.64285714285717,475.1428571428572,1.5,6,1
34.320068359375,85.15476190476193,630.1904761904761,1.5,5,1
24.97772216796875,56.72619047619048,514.047619047619,1.5,5,1
28.28515625,67.72619047619048,508.1428571428572,1.5,6,1
25.72943115234375,59.071428571428605,511.4285714285714,1.5,5,1
22.34344482421875,56.083333333333314,568.047619047619,1.5,4,1
26.1905517578125,58.309523809523796,553.6666666666666,1.5,3,1
30.19647216796875,64.53571428571433,602.2857142857143,1.5,5,1
32.68035888671875,68.41666666666674,649.3809523809524,1.5,4,1
31.08612060546875,79.20238095238096,524.6666666666666,1.5,5,1
22.263671875,48.738095238095305,568.3809523809524,1.5,5,1
17.174041748046875,42.65476190476187,470.8095238095238,1.5,5,1
28.34027099609375,70.10714285714289,553.4285714285714,1.5,4,1
26.57806396484375,55.26190476190476,530.6190476190476,1.5,4,1
33.31707763671875,69.05952380952374,620.0952380952381,1.5,4,1
